ngram,coefficient,associated_source
e+1,-6.663453,A
ele,-5.627306,A
ct,-5.582937,A
lect,-5.54555,A
selec,-5.528501,A
 ect,-5.487865,A
elect,-5.467604,A
 elec,-5.464956,A
 sele,-5.440367,A
 sele,-5.439312,A
 lect,-5.434152,A
 lec,-5.408932,A
 sel,-5.405059,A
 sel,-5.376674,A
 ect,-5.322431,A
 (,-5.121141,A
 ),-5.100491,A
" ',",-5.027144,A
 =,-4.992862,A
 from,-4.897501,A
",",1.87501,B
 ca,1.061479,B
ra,0.972312,B
la,0.914921,B
ed,0.90878,B
 ma,0.905213,B
na,0.900675,B
de,0.815749,B
 sa,0.810307,B
ia,0.79164,B
da,0.782535,B
de,0.761325,B
an,0.753981,B
do,0.73306,B
the,0.717736,B
he,0.677726,B
io,0.677107,B
ar,0.671324,B
el,0.667449,B
ro,0.665622,B
