feature,A_rate_pct,B_rate_pct,abs_difference_pct
starts_select,87.614716,0.0,87.614716
has_from,83.594575,0.046654,83.547921
has_where,35.612767,0.01333,35.599437
has_and,10.338666,0.279925,10.058741
has_order_by,8.803703,0.0,8.803703
has_join,7.463656,0.02666,7.436997
has_union,4.572403,0.039989,4.532414
has_or,2.948104,0.039989,2.908114
starts_update,1.786729,0.0,1.786729
starts_insert,1.778608,0.0,1.778608
starts_delete,1.770486,0.0,1.770486
semicolon,4.710469,6.358304,1.647836
has_group_by,0.138065,0.0,0.138065
has_comment_dash,0.016243,0.126633,0.11039
has_comment_block,0.032486,0.0,0.032486
