feature,source,count,mean,median,std,min,max
char_length,A,12313,55.380492,50.0,33.532791,4,559
char_length,B,15004,28.240136,13.0,42.44811,3,1291
word_count,A,12313,9.722895,9.0,4.627398,1,80
word_count,B,15004,3.884098,1.0,6.076615,1,63
digit_count,A,12313,1.521075,0.0,4.195657,0,171
digit_count,B,15004,3.362637,0.0,5.831477,0,263
quote_count,A,12313,1.135061,0.0,2.072798,0,13
quote_count,B,15004,0.002066,0.0,0.054728,0,4
paren_count,A,12313,0.918135,0.0,1.324516,0,16
paren_count,B,15004,0.015263,0.0,0.202218,0,10
