model,seed,best_epoch,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,mcc,errors,fp,fn,source,tn,tp,n
BERT-base,7,3,0.998408,0.998637,0.997278,0.997957,0.99957,0.999674,0.998204,0.996654,9,3,6,recovered_from_notebook_output,3447,2198,5654
BERT-base,21,3,0.998585,0.998185,0.998185,0.998185,0.999948,0.999925,0.998513,0.997026,8,4,4,recovered_from_notebook_output,3446,2200,5654
BERT-base,42,3,0.998939,0.999092,0.998185,0.998638,0.999955,0.999932,0.998803,0.997769,6,2,4,saved_json,3448,2200,5654
BERT-base,84,3,0.999293,1.0,0.998185,0.999092,0.999649,0.999663,0.999093,0.998513,4,0,4,recovered_from_notebook_output,3450,2200,5654
BERT-base,126,1,0.998585,0.999091,0.997278,0.998183,0.999959,0.999938,0.998349,0.997026,8,2,6,saved_json,3448,2198,5654
CodeBERT,7,2,0.999469,0.999093,0.999546,0.99932,0.999997,0.999995,0.999483,0.998885,3,2,1,recovered_from_notebook_output,3448,2203,5654
CodeBERT,21,3,0.999293,0.99864,0.999546,0.999093,0.999999,0.999998,0.999338,0.998513,4,3,1,saved_json,3447,2203,5654
CodeBERT,42,1,0.999469,0.999546,0.999093,0.999319,0.999971,0.999959,0.999401,0.998885,3,1,2,saved_json,3449,2202,5654
CodeBERT,84,4,0.999469,0.999546,0.999093,0.999319,0.999652,0.999751,0.999401,0.998885,3,1,2,recovered_from_notebook_output,3449,2202,5654
CodeBERT,126,3,0.999293,0.99864,0.999546,0.999093,0.999986,0.999979,0.999338,0.998513,4,3,1,recovered_from_notebook_output,3447,2203,5654
